Registro;Producto;Titular
B-2039/08;MIRCERA SOLUCIÓN INYECTABLE 800 mcg/0,6 mL;Roche Chile Ltda.
B-2040/08;MIRCERA SOLUCIÓN INYECTABLE 50 mcg/1 mL;Roche Chile Ltda.
B-2041/08;MIRCERA SOLUCIÓN INYECTABLE 100 mcg/1 mL;Roche Chile Ltda.
B-2042/08;MIRCERA SOLUCIÓN INYECTABLE 200 mcg/1 mL;Roche Chile Ltda.
B-2043/08;MIRCERA SOLUCIÓN INYECTABLE 300 mcg/1 mL;Roche Chile Ltda.
B-2044/08;MIRCERA SOLUCIÓN INYECTABLE 1.000 mcg/1 mL;Roche Chile Ltda.
B-2100/09;ACTEMRA CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN 80 mg/4 mL;Roche Chile Ltda.
B-2101/09;ACTEMRA CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN 200 mg/10 mL;Roche Chile Ltda.
B-2102/09;ACTEMRA CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN 400 mg/ 20 mL;Roche Chile Ltda.
F-17959/10;MULTAQ COMPRIMIDOS RECUBIERTOS 400 mg;Sanofi-Aventis De Chile S.A.
F-18625/11;JEVTANA SOLUCIÓN CONCENTRADA PARA INFUSIÓN   60 mg/1,5 mL, CON SOLVENTE ;Sanofi-Aventis De Chile S.A.
